,0
0,"RT @GabbbarSingh: 3. Also, the captured pilot is a great leverage for no more escalation. Things may normalize. But who will console the fa…"
1,"RT @ashoswai: What a day for Indian media!
Morning- Modi led our air force to enter inside Pakistan &amp; kill 300 terrorists to take revenge o…"
2,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
3,@Rmnroy242 @aajtak Yes you are right #Pakistan doesn't have power or possess that #courage to show. The one who is… https://t.co/nQSIGfwym8
4,"RT @hvgoenka: A lovely sketch made by @art_lover_09 #pulwama
 https://t.co/tKYp2dHUN8"
5,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
6,"RT @saikatd: India's 'North Korean' news channels need to seriously stop reporting PM Modi has given a ""free hand"" to the military. Didn't…"
7,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
8,"RT @rahulroushan: Sardesai retaliates like a street thug when someone provokes him, abuses in DM if someone trolls him. Now he says it's na…"
9,RT @SikanderFayyaz: Pakistanis aren't getting enough credit for how they've behaved since Pulwama. No toxic hyper-nationalism. Didn't respo…
10,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
11,"RT @AskAnshul: Pakistan media quoted Rajdeep, Sagarika &amp; Ashok Swain to imply:

-No Air strike
-No solid evidence of strike.
-Pulwama attac…"
12,"RT @rohini_sgh: First #BringAbhinandanBack. Second , take responsibility for the lapses that led to Pulwama despite intel inputs. It’s all…"
13,"RT @saikatd: India's 'North Korean' news channels need to seriously stop reporting PM Modi has given a ""free hand"" to the military. Didn't…"
14,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
15,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
16,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
17,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
18,"RT @suchitrav: Vasundhara Sirnate and I analyzed the news reports since the #pulwamaattacks 

Our analysis of various Indian media news rep…"
19,RT @dhume: Both true: 1. Modi’s response to Pulwama attack is much stronger than Manmohan Singh’s to 2008 Mumbai attacks. 2. India’s restra…
20,"RT @chetan_bhagat: Reacting when our soldiers are killed isn't war mongering, it is self defence. Nobody in India wants war. We were happil…"
21,"RT @saikatd: India's 'North Korean' news channels need to seriously stop reporting PM Modi has given a ""free hand"" to the military. Didn't…"
22,RT @squintneon: If Warmongering is responsible for Abhinandan then peace talk is responsible for 40 soldiers killed in Pulwama.
23,"RT @suchitrav: Vasundhara Sirnate and I analyzed the news reports since the #pulwamaattacks 

Our analysis of various Indian media news rep…"
24,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
25,RT @nina11_arora: @Subytweets And after Pulwama he was singing &amp; dancing! Why don’t  they all just start a Bhand Jumlawale Party of their o…
26,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
27,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
28,RT @Pawankhera: My appeal to India’s ruling party - please stop taking cheap political mileage of the tragic killings of our Jawans in #Pul…
29,"Don't beat the war drums, it might end up being your worst nightmare, Pakistan. You should have not started the con… https://t.co/NoEKa8w59P"
30,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
31,"@_sabanaqvi 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi… https://t.co/6JywM0OuKx"
32,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
33,@AnanyaTripathy6 @113tiwarivishnu really tell me who is with you ? who saidn athing about pulwama simple answer nob… https://t.co/XN5LLyh91N
34,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
35,"RT @rahulroushan: Sardesai retaliates like a street thug when someone provokes him, abuses in DM if someone trolls him. Now he says it's na…"
36,RT @arunjaitley: The Cross Border terror attack in Pulwama was a reality. The Balakot Operation was India’s Anti- Terror preemptive strike…
37,RT @arunjaitley: The Cross Border terror attack in Pulwama was a reality. The Balakot Operation was India’s Anti- Terror preemptive strike…
38,"RT @SmokingSkills_: We agreed for peace they did 93’ Mumbai

We agreed for peace they did Kargil

We agreed for peace they did Kandhar

We…"
39,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
40,#Abhinandan #JaiHind #Pulwama #BringBackAbhinandan https://t.co/kvirO4vCYJ
41,RT @Pawankhera: My appeal to India’s ruling party - please stop taking cheap political mileage of the tragic killings of our Jawans in #Pul…
42,RT @ANI: FM Jaitley: Cross border terror attack in Pulwama was a reality. Balakot Operation was India’s anti- terror preemptive strike to d…
43,"RT @art_lover_09: Pulwama 🙏🏻
Jai Hind. 
#IndiaStrikesBack #IndianAirForce https://t.co/EQovmegOBc"
44,"1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanas… https://t.co/3Mblg6wnXd"
45,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
46,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
47,"RT @DimpleAtra: KaMalala had gone punting on the day of #Pulwama Jihadi attack against Hindus, it appears. Back now with her tutored sermon…"
48,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
49,"RT @PakPMO: I ask India; with our weapons capability...on both sides, can we afford a miscalculation? It will neither be in my control nor…"
50,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
51,"RT @AskAnshul: Pakistan media quoted Rajdeep, Sagarika &amp; Ashok Swain to imply:

-No Air strike
-No solid evidence of strike.
-Pulwama attac…"
52,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
53,"RT @saikatd: India's 'North Korean' news channels need to seriously stop reporting PM Modi has given a ""free hand"" to the military. Didn't…"
54,"RT @rahulroushan: Sardesai retaliates like a street thug when someone provokes him, abuses in DM if someone trolls him. Now he says it's na…"
55,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
56,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
57,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
58,"RT @suchitrav: Vasundhara Sirnate and I analyzed the news reports since the #pulwamaattacks 

Our analysis of various Indian media news rep…"
59,"RT @PakPMO: I ask India; with our weapons capability...on both sides, can we afford a miscalculation? It will neither be in my control nor…"
60,"RT @hvgoenka: A lovely sketch made by @art_lover_09 #pulwama
 https://t.co/tKYp2dHUN8"
61,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
62,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
63,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
64,RT @amritabhinder: The Cross Border terror attack in Pulwama was a reality. Balakot Operation was India’s Anti- Terror preemptive strike to…
65,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
66,RT @sadhavi: Shameless creatures! India is watching you guys. When the nation was mourning #Pulwama BJP was electioneering and now when our…
67,RT @amritabhinder: The Cross Border terror attack in Pulwama was a reality. Balakot Operation was India’s Anti- Terror preemptive strike to…
68,RT @ncbn: Condemned the dastardly Pulwama attack at the opposition meeting with leaders of 21 political parties in New Delhi. We stand in s…
69,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
70,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
71,"RT @rishibagree: It was Pakistan Who did repeatedly did 

93 bombay blasts 
Kargil
Kandahar 
Kaluchak Massacre
Parliament,
26//11
Pathankot…"
72,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
73,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
74,"RT @SurajSolanki: विपक्षी दलों की बैठक में 21 दल हुए शामिल, बैठक में #पुलवामा हमले के शहीदों को श्रद्धांजलि अर्पित की गई। राहुल गांधी ने ला…"
75,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
76,"RT @suchitrav: Vasundhara Sirnate and I analyzed the news reports since the #pulwamaattacks 

Our analysis of various Indian media news rep…"
77,RT @arunjaitley: The Cross Border terror attack in Pulwama was a reality. The Balakot Operation was India’s Anti- Terror preemptive strike…
78,RT @theskindoctor13: Liberals shedding crocodile tears for Wg Cdr Abhinandan were celebrating when 44 of our soldiers were brutaIIy kiIIed…
79,RT @amritabhinder: The Cross Border terror attack in Pulwama was a reality. Balakot Operation was India’s Anti- Terror preemptive strike to…
80,RT @Pawankhera: My appeal to India’s ruling party - please stop taking cheap political mileage of the tragic killings of our Jawans in #Pul…
81,"RT @Ya_2317: Those crying #BringBackAbhinandan remember Major VibhutiDhaundiyal? You can't bring Nikita's man back?
And Major Chitrash Bish…"
82,"RT @AskAnshul: Pakistan media quoted Rajdeep, Sagarika &amp; Ashok Swain to imply:

-No Air strike
-No solid evidence of strike.
-Pulwama attac…"
83,RT @AdityaRajKaul: Masood Azhar in his 10 min audio also hits out at Pak media for their stories post-Pulwama terror attack. Asks: Are VIP…
84,RT @arunjaitley: The Cross Border terror attack in Pulwama was a reality. The Balakot Operation was India’s Anti- Terror preemptive strike…
85,RT @arunjaitley: The Cross Border terror attack in Pulwama was a reality. The Balakot Operation was India’s Anti- Terror preemptive strike…
86,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
87,RT @ANI: FM Jaitley: Cross border terror attack in Pulwama was a reality. Balakot Operation was India’s anti- terror preemptive strike to d…
88,RT @arunjaitley: The Cross Border terror attack in Pulwama was a reality. The Balakot Operation was India’s Anti- Terror preemptive strike…
89,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
90,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
91,"RT @EbullientMind: Modi didn't stop shoot/rallies after #Pulwama

Modi didn't stop rallies after commander #Abhinandan was captured.

Peopl…"
92,RT @arunjaitley: The Cross Border terror attack in Pulwama was a reality. The Balakot Operation was India’s Anti- Terror preemptive strike…
93,At the risk of screaming into the void: negotiate immediate return of captured pilot and proceed with conciliation… https://t.co/u8sLmf8yQW
94,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
95,RT @arunjaitley: The Cross Border terror attack in Pulwama was a reality. The Balakot Operation was India’s Anti- Terror preemptive strike…
96,"RT @iMac_too: To ""Modi's politicising it"" brigade led by Congress:

First act of politicisation in current series of events was Pulwama its…"
97,RT @IRISHINSAFIAN: How come I didn’t see or hear anything from the UK based women on #Kashmir or #Pulwama? but when Pakistan defends itself…
98,"RT @itsaynofficial: #WeStandWithYouAbhi
#SayNoToWar
I would like to ask Modi media that you did not find an evidence that how 350Kg RDx cam…"
99,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
100,"RT @AaronBlake: Now the GOP attack is that Cohen's lawyer (Lanny Davis) is working for free and may have ulterior motives.

Who else's lawy…"
101,@CBSEveningNews @CBSMiami the way i see Cohen is going to jail so no hold bar the GOP on attack then throw it all o… https://t.co/sqFHlzukLH
102,"RT @PreetBharara: People, there is a ton to attack Cohen on. Redundant harping on a potential book deal is silly and ineffective. And lazy."
103,"RT @GOPChairwoman: Michael Cohen has:
 
*Lied to Congress
*Lied to the IRS
*Made multiple false statements to multiple financial institutio…"
104,"RT @rishibagree: What Libtards say - #SayNotoWar 

What Libtards mean- 
Say yes to killings of Indian soldiers, Give clean chit to Pakistan…"
105,"RT @Zeesmagic: 🔥 The vote attack starts now 🔥

Rt 
Reply x5 with different emojis 

Keep voting and spread the word around 

@zaynmalik #Me…"
106,"RT @PreetBharara: People, there is a ton to attack Cohen on. Redundant harping on a potential book deal is silly and ineffective. And lazy."
107,"RT @paulsperry_: BREAKING: Cohen testified that he went over ""topics"" that Democrats would raise at today's hearing with lead anti-Trump at…"
108,"RT @PreetBharara: People, there is a ton to attack Cohen on. Redundant harping on a potential book deal is silly and ineffective. And lazy."
109,RT @nripatunga: It’s sad that we have some cowardly Indians saying #SayNoToWar as if it is a choice we have. 40 soldiers blown in a gruesom…
110,"@KVBohra @narendramodi 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains… https://t.co/xdsBZNlWsY"
111,RT @EricHolder: Jordan feels he has to attack the FBI and federal law enforcement to defend Trump. When it comes to credibility the men and…
112,"RT @Arsenal: 🚨 TEAM NEWS 🚨

✅ @MesutOzil1088 starts
✅ @Aubameyang7 leads our attack
✅ Sokratis returns to the starting line-up

#ARSBOU"
113,@AngrierWHStaff This is like watching two totally different Universes. One side they only attack Cohen and repeat w… https://t.co/6jf5i6MaIP
114,RT @newtgingrich: So Hillary Clinton’s close friend helped convicted liar Michael Cohen write a vicious attack on the man he took money fro…
115,RT @chihchun: 上個月 apt 被發現一個安全問題 CVE-2019-3462[1]，攻擊者有機會在使用者升級時發起 man-in-the-middle attack 塞入惡意軟體。此安全問題已經修正，請升級系統。如果還再使用 16.04/14.04 等長期支援版本…
116,"RT @STATSAWARDS: If this tweet doesn't get to 300RTS until 9pm GMT (in 3 hours) there will be no second vote attack tonight, and I might ca…"
117,"RT @Arsenal: 🚨 TEAM NEWS 🚨

✅ @MesutOzil1088 starts
✅ @Aubameyang7 leads our attack
✅ Sokratis returns to the starting line-up

#ARSBOU"
118,"RT @ashoswai: What a day for Indian media!
Morning- Modi led our air force to enter inside Pakistan &amp; kill 300 terrorists to take revenge o…"
119,"RT @HappyCatsOnline: He powered up his attack
https://t.co/GBAsSDv73E"
120,RT @newtgingrich: So Hillary Clinton’s close friend helped convicted liar Michael Cohen write a vicious attack on the man he took money fro…
121,@arunjaitley Show some proove of that so cold anti-terror attack .. Uncle kahin vo ap ka ghar main to nae ho gya by mistake.
122,"RT @GOPChairwoman: Michael Cohen has:
 
*Lied to Congress
*Lied to the IRS
*Made multiple false statements to multiple financial institutio…"
123,"RT @PreetBharara: People, there is a ton to attack Cohen on. Redundant harping on a potential book deal is silly and ineffective. And lazy."
124,RT @EricHolder: Jordan feels he has to attack the FBI and federal law enforcement to defend Trump. When it comes to credibility the men and…
125,"RT @PrincessBravato: Mrs Miller might think its a waste of time but a witness just told you 
POTUS COMMITTED CRIMES IN OFFICE AND U ATTACK…"
126,RT @bleachbrs_en: Kenpachi's attack will crush you and leave you weakened! Coming soon! https://t.co/IQneXDf69q #BraveSouls https://t.co/4j…
127,"@naveenr1212 @GargaC Bring Drone Quadcopter next time with 40MP camera atleast.
May be then you able to count 350 l… https://t.co/BUKY3FOiYw"
128,RT @nda4kerala: Awesome! @rajeev_mp tears into @b_kodiyeri for his Anti National statmnt dat the IAF attack was to sabotage #LokSabhaElecti…
129,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
130,RT @AngusReid: From our poll released today. The age factor in voting intentions is massive. Trudeau’s challenge is going to be how to mobi…
131,"RT @PreetBharara: People, there is a ton to attack Cohen on. Redundant harping on a potential book deal is silly and ineffective. And lazy."
132,@ZohaibN604 Sorry dude but trust me #Pakistan is the root cause of all #Terrorist Attack worldwide. Don’t Mess with… https://t.co/ohzLbGkDb6
133,"RT @PreetBharara: People, there is a ton to attack Cohen on. Redundant harping on a potential book deal is silly and ineffective. And lazy."
134,#SayNoToWar yes why not say no to war but after aar par @PMOIndia sir the soldiers are united with u. As only tjey… https://t.co/Ks9WwgbCsL
135,"RT @PreetBharara: People, there is a ton to attack Cohen on. Redundant harping on a potential book deal is silly and ineffective. And lazy."
136,RT @ashoswai: Modi has put India on danger by wounding one person and digging four holes in Pakistan the air attack! 2 minutes of airspace…
137,@RepCarolMiller Why do you choose to attack someone who is making amends? Do you realize that YOU are trying to cov… https://t.co/6Ss7ZCE3Az
138,"RT @Arsenal: 🚨 TEAM NEWS 🚨

✅ @MesutOzil1088 starts
✅ @Aubameyang7 leads our attack
✅ Sokratis returns to the starting line-up

#ARSBOU"
139,"RT @PrincessBravato: Mrs Miller might think its a waste of time but a witness just told you 
POTUS COMMITTED CRIMES IN OFFICE AND U ATTACK…"
140,@Rmnroy242 @aajtak Yes you are right #Pakistan doesn't have power or possess that #courage to show. The one who is… https://t.co/nQSIGfwym8
141,"RT @SenGillibrand: Safe and legal abortion is a constitutional right. It's health care. It's safe and normal. And right now, it's under dir…"
142,RT @Vikram_Sood: Revisting my earlier writing. After @gchikermane reminded me !  https://t.co/UfGWUNjTnV
143,"RT @paulsperry_: BREAKING: Cohen testified that he went over ""topics"" that Democrats would raise at today's hearing with lead anti-Trump at…"
144,"RT @GOPChairwoman: Michael Cohen has:
 
*Lied to Congress
*Lied to the IRS
*Made multiple false statements to multiple financial institutio…"
145,"RT @PreetBharara: People, there is a ton to attack Cohen on. Redundant harping on a potential book deal is silly and ineffective. And lazy."
146,RT @pxlsec: The Phishing Campaign That Uses Variations of Attack Patterns To Evade Detection https://t.co/hYa3hiNcVZ #infosec
147,"RT @STATSAWARDS: SHALL I REMIND YOU OUR OPPONENTS ARE ALSO HAVING A VOTE ATTACK RIGHT NOW AND ARE DOING BETTER THAN US SO FAR?

Only 9 fuck…"
148,@Rehmankhan49 @Zartasha_N_Awan @VORdotcom @Nauman90 Jo sawal maine kiya uska jawab do. Terrorists ko target kiya In… https://t.co/iy7vEMAiEJ
